Table S2. The 199 full text records screened with reasons for exclusion.;;;;;;;;;;;;;;
source;title;year;journal;volume;issue;pages;authors;coop_breeding_definition;data_available;territory_area;group_size_definition;decision;notes;
scopus / web of science;Biology of cooperative breeding scrub jays (Aphelocoma coerulescens) of Oaxaca, Mexico;1993;AUK;110;2;207-214;Burt, DB and Peterson, AT;yes;no;NA;NA;exclude;Figure 3 has territories,  but not clear if these are total sizes since borders for most are undefined;
scopus / web of science;Plural breeding among unrelated females and other insights on complex social structure in the cooperatively breeding Variegated Fairywren;2023;EMU-AUSTRAL ORNITHOLOGY;123;3;232-243;Boersma, Jordan and Thrasher, Derrick J. and Welklin, Joseph F. and Baldassarre, Daniel T. and Feeney, William E. and Webster, Michael S.;yes;no;NA;NA;exclude;territory quality not investigated;
scopus / web of science;Giant babax (Babax waddelli) helpers cheat at provisioning nestlings in poor conditions;2023;BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY;77;1;;Liu, Fangyuan and Gao, Lifang and Wang, Qian and Fan, Liqing and Li, Jianchuan and Du, Bo;yes;no;NA;NA;exclude;Table 1 has summary data for low and high altitude populations, but not pared by group size;
scopus / web of science;Cooperative breeding behavior emerges early in restored populations of the Brown-headed Nuthatch (Shia pusilla);2021;WILSON JOURNAL OF ORNITHOLOGY;133;4;634-+;Cox, James A. and Gray, Mary Mack and Levy, Heather E. and Slater, Gary L.;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;Habitat saturation results in joint-nesting female coalitions in a social bird;2019;AMERICAN NATURALIST;193;6;830-840;Barve, Sahas and Koenig, Walter D. and Haydock, Joseph and Walters, Eric L.;yes;no;NA;NA;exclude;territory quality and female coalition size investigated, but not gorup size;
scopus / web of science;Females increase reproductive investment in response to helper-mediated improvements in allo-feeding, nest survival, nestling provisioning and post-fledging survival in the Karoo scrub-robin Cercotrichas coryphaeus;2009;JOURNAL OF AVIAN BIOLOGY;40;4;400-411;Lloyd, Penn and Taylor, W. Andrew and du Plessis, Morne A. and Martin, Thomas E.;yes;no;NA;NA;exclude;two habitat types investigated (sand plain vs dune thicket) but no continuous measure and group size not reported;
scopus / web of science;Factors affecting offspring survival and development in a cooperative bird: social, maternal and environmental effects;2007;JOURNAL OF ANIMAL ECOLOGY;76;4;750-760;Ridley, A. R.;yes;no;NA;NA;exclude;relationship between group size and environment not reported and no supp data;
scopus / web of science;Cooperative breeding in the brown-headed nuthatch;2007;WILSON JOURNAL OF ORNITHOLOGY;119;1;8.Jan;Cox, James A. and Slater, Gary L.;yes;no;NA;NA;exclude;territory size / quality not measured;
scopus / web of science;Male heterozygosity predicts territory size, song structure and reproductive success in a cooperatively breeding bird;2004;PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES;271;1550;1823-1829;Seddon, N and Amos, W and Mulder, RA and Tobias, JA;yes;no;NA;NA;exclude;group size not reported;
scopus / web of science;Family dynasties in the Tasmanian native hen (Gallinula mortierii);2001;BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY;51;1;26-32;Putland, DA and Goldizen, AW;yes;no;NA;NA;exclude;group size not reported;
scopus / web of science;Relationships among Red-cockaded Woodpecker group density, nestling provisioning rates, and habitat;1999;WILSON BULLETIN;111;4;494-498;Conner, RN and Rudolph, DC and Schaefer, RR and Saenz, D and Shackelford, CE;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;Territorial behaviour in the Tasmanian native hen: group and individual performance;1998;ANIMAL BEHAVIOUR;56;;1455-1463;Putland, DA and Goldizen, AW;yes;no;NA;NA;exclude;relationship between group size and territory quality not reported and no supp data;
scopus / web of science;The diet and conservation of monogamous and polyandrous pale chanting goshawks in the Little Karoo, South Africa;1996;SOUTH AFRICAN JOURNAL OF WILDLIFE RESEARCH;26;1;10.Jan;Malan, G and Crowe, TM;yes;no;NA;NA;exclude;diet compared between monogamous pairs and polyandrous groups with no finer grading;
scopus / web of science;Social organization of cooperatively polyandrous White-winged Trumpeters (Psophia leucoptera);1995;AUK;112;2;296-309;Sherman, PT;yes;no;NA;NA;exclude;"relationship between group size and territory quality not reported; note that offspring are precocial but are still fed by group members";
scopus / web of science;The status and ecology of the white-throated grasswren Amytornis woodwardi;1992;EMU;92;;39-51;Noske, RA;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;Cooperative breeding behavior in white-browed sparrow weaver;1978;AUK;95;3;472-484;Collias, NE and Collias EC;yes;no;NA;NA;exclude;colony level data reported;
scopus / web of science;Influence of winter ranging behaviour on the social organization of a cooperatively breeding bird species, the apostlebird;2009;Ethology;115;9;888-896;Griesser, M. and Barnaby, J. and Schneider, N.A. and Figenschau, N. and Wright, J. and Griffith, S.C. and Kazem, A. and Russell, A.F.;yes;no;NA;NA;exclude;Chi squared statistic of group size vs range in winter reported and Fig 2 but don’t know summer group sizes and can’t work out from Fig 2;
scopus / web of science;Ecosystem management and the niche gestalt of the Red-cockaded Woodpecker in longleaf pine forests;2001;Ecological Applications;11;3;854-870;James, F.C. and Hess, C.A. and Kicklighter, B.C. and Thum, R.A.;yes;no;NA;NA;exclude;Figure 2a and Table 3 has correlations between group size (ADUL) and aspects of territory quality but data structure difficult to understand;
scopus / web of science;Influence of cavity availability on Red-cockaded Woodpecker group size;1998;Wilson Bulletin;110;1;93-99;Carrie, N.R. and Moore, K.R. and Stephens, S.A. and Keith, E.L.;yes;no;NA;NA;exclude;"Figure 1 and Spearman's r reported in the results; but a managed population with artificial cavities installed; not clear when group size measured";
scopus / web of science;Group structure, within-group conflict and reproductive tactics in cooperatively breeding Galápagos mockingbirds, Nesomimus parvulus;1988;Animal Behaviour;36;6;1708-1728;Curry, R.L.;yes;no;NA;NA;exclude;Figure 3a but data already included via Curry & Grant 1990;
scopus / web of science;Territorial organization of the white fronted bee eater in Kenya;1987;Ethology;76;3;189-222;Hegner, R.E. and Emlen, S.T.;yes;no;NA;NA;exclude;Table 2 has raw data on clan size and clan foraging areas but a colonial nesting species;
scopus / web of science;Reproductive strategies used by moorhens (Gallinula chloropus) colonizing an artificial wetland habitat in south Wales;2004;JOURNAL OF NATURAL HISTORY;38;3;389-401;Forman, DW and Brain, PF;yes;no;NA;NA;exclude;Table 4 has summary data but artificial, heavily managed population including food additions and a fence to deter predators;
scopus / web of science;The Impacts of Out-Group Threats on Within- and Between-Group Behaviours in the Cooperatively Breeding White-Browed Sparrow-Weaver;2018;;;;;Martin-Taylor, Charlotte Marie;yes;no;NA;NA;exclude;Figure 2a has raw data but data already included via O’Callaghan 2021;
scopus / web of science;Social organisation and foraging ecology of the cooperatively breeding Chestnut-crowned Babbler (Pomatostomus ruficeps);2009;EMU-AUSTRAL ORNITHOLOGY;109;2;153-162;Portelli, Dean J. and Barclay, Holly and Russell, Deborah J. F. and Griffith, Simon C. and Russell, Andrew F.;yes;no;NA;NA;exclude;Figure 1b has raw data and Spearman's r reported in results but group size for two largest groups is for amalgamated units;
scopus / web of science;Life history of the white-breasted robin, Eopsaltria georgiana (Petroicidae), in south-western Australia;2004;AUSTRALIAN JOURNAL OF ZOOLOGY;52;2;111-145;Russell, EM and Brown, RJ and Brown, MN;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;Aspects of the behavioral ecology of the Harris's hawk (Parabuteo unicinctus) in southeastern Arizona;1998;;;;;Lett, Diana Wilder;yes;no;NA;NA;exclude;no usable measure of territory size;
scopus / web of science;The significance of territory size and quality in the mating strategy of the splendid fairy-wren;1995;JOURNAL OF ANIMAL ECOLOGY;64;5;614-627;Brooker, M and Rowley, I;yes;no;NA;NA;exclude;F value of relationship between territory size and group size reported in results but not enough information to convert F to Zr;
scopus / web of science;Observations of group bheavior and breeding biology of the yellow-billed shrike Corvinella corvina;1980;IBIS;122;2;166-&;Grimes, LG;yes;no;NA;NA;exclude;Spearman's r reported in the results but urban population where the number of trees was artificially reduced;
scopus / web of science;Short-term climate variation drives baseline innate immune function and stress in a tropical bird: A reactive scope perspective;2019;Physiological and Biochemical Zoology;92;2;140-151;Roast, M.J. and Aulsebrook, A.E. and Fan, M. and Aranzamendi, N.H. and Teunissen, N. and Peters, A.;yes;yes;no;NA;exclude;Pearson's r reported in the methods;
scopus / web of science;Effects of habitat quality on the number of alloparents and nest provisioning rates in a cooperatively breeding tropical passerine;2012;Zoological Studies;51;8;1464-1474;Wonkson, P. and Savini, T. and Gale, G.A.;yes;yes;no;NA;exclude;Figure 2a;
scopus / web of science;No evidence for offspring sex-ratio adjustment to social or environmental conditions in cooperatively breeding purple-crowned fairy-wrens;2011;Behavioral Ecology and Sociobiology;65;6;1203-1213;Kingma, S.A. and Hall, M.L. and Peters, A.;yes;yes;no;NA;exclude;slopes, z value and p values from a glmm reported in the results (see Table 1 Figure legend for N);
scopus / web of science;Western bluebirds: Lessons from a marginal cooperative breeder;2016;Cooperative Breeding in Vertebrates: Studies of Ecology, Evolution, and Behavior;;;19-38;Dickinson, J.L. and Akçay, Ç. and Ferree, E.D. and Stern, C.A.;yes;yes;no;NA;exclude;relationship between winter mistletoe and winter group size investigated, but not breeding groups;
scopus / web of science;Group size and composition in the Grey-crowned Babbler Pomatostomus temporalis in an urban environment;2013;Corella;37;3;57-62;Lambert, K.T.A. and Geering, D. and Ford, H.;yes;yes;no;NA;exclude;"t test comparing altered and natural group sizes in the nonbreeding season; habitat quality measure is binary and one of the measures is urban";
scopus / web of science;Population regulation in group-living birds: Predictive models of the Seychelles warbler;2003;Journal of Animal Ecology;72;4;588-598;Ridley, J. and Komdeur, J. and Sutherland, W.J.;yes;yes;no;NA;exclude;Table A1 has summary data on territory quality but data already included via Komdeur 1992;
scopus / web of science;Importance of habitat saturation and territory quality for evolution of cooperative breeding in the Seychelles warbler;1992;Nature;358;6386;493-495;Komdeur, J.;yes;yes;no;NA;exclude;Table 1 has summary data on territory quality which can use to simulate distributions and H test statistic reported;
scopus / web of science;Cooperative breeding in Lanius shrikes II. Maintenance of group-living in a nonsaturated habitat.;1985;Auk;102;4;766-773;Zack, S. and Ligon, J.D.;yes;yes;no;NA;exclude;"Figure 1, Table 1, and Spearman's r reported in the results; groups measured in and out of the breeding season";
scopus / web of science;Behaviour, natural history, and annual cycle of the Henderson Island rail Porzana atra (Aves: Rallidae);1995;Biological Journal of the Linnean Society;56;1;167-183;Jones, P. and Schubel, S. and Jolly, J. and Brooke, M.d.L. and Vickery, J.;yes;yes;no;NA;exclude;Table 3 has raw data;
scopus / web of science;Territory quality and dispersal options in the acorn woodpecker and a challenge to the habitat-saturation model of cooperative breeding.;1987;American Naturalist;130;5;654-676;Stacey, P.B. and Ligon, J.D.;yes;yes;no;NA;exclude;Table 1 has summary data which can use to simulate distributions;
scopus / web of science;Relationship of habitat quality to group size in Hall’s babbler (Pomatostomus halli);1977;CONDOR;79;3;312-320;Brown, JL and Balda, RP;yes;yes;no;NA;exclude;Figure 5 and Spearman's r reported in the results (raw data in some of the tables may be usable);
scopus / web of science;Communal breeding in tropical Guira Cuckoos Guira guira: sociality in the absence of a saturated habitat;1997;JOURNAL OF AVIAN BIOLOGY;28;3;207-215;Macedo, RH and Bianchi, CA;yes;yes;no;NA;exclude;Pearson's r reported in the results;
scopus / web of science;Unraveling a paradox of habitat relationships: scale-dependent drivers of temporal occupancy-abundance relationships in a cooperatively breeding bird;2023;LANDSCAPE ECOLOGY;38;8;1955-1970;Hagemeyer, Natasha D. G. and Pesendorfer, Mario B. and Koenig, Walter D. and Walters, Eric L.;yes;yes;no;NA;exclude;"Fig 6c is pseudo-replicated and too many data points to extract manually; data structure difficult to understand, no link to dryad data and no data for this article on dryad; group size includes juveniles";
scopus / web of science;The role of group size and environmental factors on survival in a cooperatively breeding tropical passerine;2006;Journal of Animal Ecology;75;6;1321-1329;Brouwer, L. and Richardson, D.S. and Eikenaar, C. and Komdeur, J.;yes;yes;yes;unclear;include;methods has summary data on number of individuals and average territory size;
scopus / web of science;Defining quality of red-cockaded woodpecker foraging habitat based on habitat use and fitness;2002;Journal of Wildlife Management;66;4;1064-1082;Walters, J.R. and Daniels, S.J. and Carter III, J.H. and Doerr, P.D.;yes;yes;yes;unclear;include;Figures 4, 5, Table 5, and t tests from regression of group size vs density of flat tops reported in results;
scopus / web of science;Aspects of the breeding biology of the arrow marked babbler Turdoides jardineii in South Africa;1995;IBIS;137;4;515-518;Monadjem, A and Owen-Smith, N and Kemo, AC;yes;yes;yes;unclear;include;Spearman's r reported in the results;
scopus / web of science;Group composition and contributions to breeding by rufous vangas Schetba rufa in Madagascar;1995;IBIS;137;2;157-161;Yamagishi, S, Urano, E and Eguchi K;yes;yes;yes;unclear;include;Figure 2 has complete territory size for 5 groups, Table 2 has group sizes;
scopus / web of science;Breeding biology, adult survival and territoriality of the White-browed Treecreeper (Climacteris affinis) in north-west Victoria, Australia;2004;Emu;104;4;305-316;Radford, J.Q.;yes;yes;yes;yes;include;Table 1 has raw data and Spearman's r reported in results;
scopus / web of science;The effect of helpers on reproductive success the laughing kookaburra;2000;Journal of Animal Ecology;69;4;714-724;Legge, S.;yes;yes;yes;yes;include;Figure 1 and F statistic of group size vs territory size reported in the results;
scopus / web of science;Ecological correlates of social organization in a communally breeding bird, the acorn woodpecker, Melanerpes formicivorus;1980;Behavioral Ecology and Sociobiology;7;2;83-92;Trail, P.W.;yes;yes;yes;yes;include;Table 1 has raw data;
scopus / web of science;Habitat saturation in groove-billed anis (Crotophaga sulcirostris).;1986;American Naturalist;127;3;317-337;Koford, R.R. and Bowen, B.S. and Vehrencamp, S.L.;yes;yes;yes;yes;include;Table 1 has correlations between unit size and 12 habitat quality measures;
scopus / web of science;Social organization and behaviour of the grey-crowned babbler Pomatostomus temporalis;1980;Emu;80;2;59-76;King, B.R.;yes;yes;yes;yes;include;Table 9 has raw data and Spearman's r between home range and group size at three time points;
scopus / web of science;Social Effects on Adult Survival in a Wild Cooperative Bird;2021;;;;;O'Callaghan, Olivia;yes;yes;yes;yes;include;Figure 3b has raw data;
scopus / web of science;Group living, breeding behaviour and territoriality in the subdesert mesite Monias benschi;2003;IBIS;145;2;277-294;Seddon, N and Tobias, JA and Butchart, SHM;yes;yes;yes;yes;include;Figure 4 and Spearman's r reported in the results;
scopus / web of science;Green woodhoopoe Phoeniculus purpureus territories remain stable despite group-size fluctuations;2004;JOURNAL OF AVIAN BIOLOGY;35;3;262-268;Radford, AN and Du Plessis, MA;yes;yes;yes;yes;include;Figure 1 has raw data;
scopus / web of science;Breeding patterns and habitat use in the endemic Curl-crested Jay of central Brazil;2003;JOURNAL OF FIELD ORNITHOLOGY;74;4;331-340;Amaral, MF and Macedo, RHF;yes;yes;yes;yes;include;group size and territory size for four groups reported in the results;
scopus / web of science;Territorial system and adult dispersal in a cooperative-breeding tanager;2014;AUK;131;1;32-40;Duca, Charles and Marini, Miguel Angelo;yes;yes;yes;yes;include;Figure 1 has raw data;
scopus / web of science;Factors affecting the evolution of group territories in babblers (Turdoides) and long-tailed tits;1976;;;;;Gaston, Anthony J.;yes;yes;yes;yes;include;Figure 2s has raw data;
scopus / web of science;Territory quality and group size in the superb fairy-wren Malurus cyaneus;1984;EMU;84;;178-180;NIAS, RC;yes;yes;yes;yes;include;Table 1 has Spearman's r for group size and 10 territory quality variables;
scopus / web of science;The price of associating with breeders in the cooperatively breeding chestnut-crowned babbler: foraging constraints, survival and sociality;2016;JOURNAL OF ANIMAL ECOLOGY;85;5;1340-1351;Sorato, Enrico and Griffith, Simon C. and Russell, Andy F.;yes;yes;yes;yes;include;"Figure 1e has distance from nest vs group size; raw data in supp info";
scopus / web of science;Ecological factors affecting group and territory size in white-throated magpie-jays;1998;AUK;115;2;327-339;Langen, TA and Vehrencamp, SL;yes;yes;yes;yes;include;"Table 1 has raw data; Table 2 has correlations";
scopus / web of science;Determining habitat quality for the cooperatively breeding Rufous Treecreeper, Climacteris rufa;2002;AUSTRAL ECOLOGY;27;2;229-237;Luck, GW;yes;yes;yes;yes;include;Table 2 has Spearman's r for group size and territory quality and territory size;
scopus / web of science;Habitat selection of the cooperative breeding Taiwan Yuhina (Yuhina brunneiceps) in a fragmented forest habitat;2005;ZOOLOGICAL STUDIES;44;4;497-504;Lee, PF and Shen, SF and Ding, TS and Chiou, CR and Yuan, HW;yes;yes;yes;yes;include;Spearman's r reported in the results;
scopus / web of science;Group territoriality and plural breeding in the Purple Gallinule (Porphyrula martinica) in a seasonally flooded savanna in Venezuela;2008;ORNITOLOGIA NEOTROPICAL;19;1;43-53;Tarano, Zaida;yes;yes;yes;yes;include;Table 1 has raw data and Spearman's r reported in results;
scopus / web of science;Relationship between bird-unit size and territory quality in three species of fairy-wrens (Malurus spp.) with overlapping territories;2003;ECOLOGICAL RESEARCH;18;1;73-80;Chan, K and Augusteyn, JD;yes;yes;yes;yes;include;Figure 3 has raw data and Spearman's r reported in results;
scopus / web of science;Cooperative breeding in Lanius shrikes I. Habitat and demography of two sympatric species;1985;AUK;102;4;754-765;Zack, S and Ligon, JD;yes;yes;yes;yes;include;Table 1 (territory characteristics) and Fig 1 (group sizes);
scopus / web of science;Differences in social behaviour between populations of the Australian Magpie Gymnorhina tibicen;1996;EMU;96;;65-70;Hughes, JM and Hesp, JDE and Kallioinen, R and Kempster, M and Lange, CL and Hedstrom, KE and Mather, PB and Robinson, A and Wellbourn, MJ;yes;yes;yes;yes;include;Table 1 has Spearman's r for group size and territory area;
scopus / web of science;Cooperative enhancement of reproductive success in tropical wren societies;1984;ECOLOGY;65;3;871-885;Rabenold, KN;yes;yes;yes;yes;include;Figure 2 shows territory sizes for 31 groups and Figure 4 has average group sizes for 26 groups;
scopus / web of science;Cooperative breeding and group territoriality in the black tit;1981;OSTRICH;52;4;216-225;Tarboton, WR;yes;yes;yes;yes;include;Spearman's r reported in the results;
scopus / web of science;Response to drilled artificial cavities by red-cockaded woodpeckers in the North Carolina Sandhills: 4-year assessment;1999;NCASI Technical Bulletin;NA;NA;NA;Walters, J.R. and Carter III, J.H. and Doerr, P.D. and Copeyon, C.K.;NA;NA;NA;NA;exclude;no access;
scopus / web of science;Red-cockaded woodpeckers in the North Carolina Sandhills: a 12-year population study;1999;NCASI Technical Bulletin;NA;NA;NA;Carter, J.H. and Walters, J.R. and Doerr, P.D.;NA;NA;NA;NA;exclude;no access;
scopus / web of science;Brood reduction of red-cockaded woodpeckers (Picoides borealis) in the Angelina and Davy Crockett National Forests;2001;MSc Thesis;NA;NA;NA;McCormick, James Robert;NA;NA;NA;NA;exclude;no access;
scopus / web of science;Population biology of a communal bird species, Plocepasser mahali;1980;PhD Thesis;NA;NA;NA;Lewis, DM;NA;NA;NA;NA;exclude;no access;
scopus / web of science;The ecology, communication and conservation of the subdesert mesite Monias benschi;2001;PhD Thesis;NA;NA;NA;Seddon, Nathalie;NA;NA;NA;NA;exclude;no access;
scopus / web of science;Ecology and sociobiology of the black-throated magpie-jay;1985;PhD Thesis;NA;NA;NA;Winterstein, Scott Richard;NA;NA;NA;NA;exclude;no access;
scopus / web of science;Parentage, kinship, and group structure in the white -throated magpie-jay (Calocitta formosa), a cooperative breeder with female helpers;2004;PhD Thesis;NA;NA;NA;Berg, Elena Catherine;NA;NA;NA;NA;exclude;no access;
scopus / web of science;Cooperative breeding in the seychelles warbler;1991;PhD Thesis;NA;NA;NA;Komdeur, Jan;NA;NA;NA;NA;exclude;no access;
full text screening;Cooperative breeding in birds: Long-term studies of ecology and behavior;1990;Book;NA;NA;NA;Stacey, P. B., and  W. D. Koenig;NA;NA;NA;NA;exclude;relevant chapters already included via main search;
full text screening;Cooperative breeding in vertebrates: Studies of ecology, evolution and behavior;2016;Book;NA;NA;NA;Koenig, W. D., and J. L. Dickinson;NA;NA;NA;NA;exclude;relevant chapters already included via main search;
full text screening;Green woodhoopoes: life history traits and sociality;1990;Cooperative Breeding in Birds (Stacey & Koenig eds), chapter 2;;;;Ligon, J.D. and Ligon, S.H.;yes;yes;yes;yes;include;Pearson's r reported;
full text screening;Hoatzins: cooperative breeding in a folivorous neotropical bird;1990;Cooperative Breeding in Birds (Stacey & Koenig eds), chapter 5;;;;Strahl, S.D. and Schmitz, A.;yes;no;NA;NA;exclude;no usable data or results reported;
full text screening;Galápagos Mockingbirds: territorial cooperative breeding in a climatically variable environment;1990;Cooperative Breeding in Birds (Stacey & Koenig eds), chapter 10;;;;Curry, R.L. and Grant, P.R.;yes;yes;yes;yes;include;Pearson's r reported;
full text screening;Groove-billed Anis: joint-nesting in a tropical cuckoo;1990;Cooperative Breeding in Birds (Stacey & Koenig eds), chapter 11;;;;Koford, R.R., Bowen, B.S., and Vehrencamp, S.L.;yes;no;NA;NA;exclude;no usable data or results reported;
full text screening;Galápagos and Harris’ Hawks: divergent causes of sociality in two raptors;1990;Cooperative Breeding in Birds (Stacey & Koenig eds), chapter 12;;;;Faaborg, J. and Bednarz, J.C.;yes;no;NA;NA;exclude;no usable data or results reported;
full text screening;Galápagos and Harris’ Hawks: divergent causes of sociality in two raptors;1990;Cooperative Breeding in Birds (Stacey & Koenig eds), chapter 12;;;;Faaborg, J. and Bednarz, J.C.;yes;no;NA;NA;exclude;no usable data or results reported;
full text screening;Acorn Woodpeckers: group-living and food storage under constrasting ecological conditions;1990;Cooperative Breeding in Birds (Stacey & Koenig eds), chapter 14;;;;Koenig, W.D. and Stacey, P.B.;yes;yes;no;NA;exclude;Table 14.3 has summary data which can use to simulate distributions;
full text screening;Group composition and reproductive success of cooperatively breeding white-winged choughs (Corcorax melanorhamphos) in urban and non-urban habitat;2006;Austral Ecology;31;5;588-596;Beck, N.R and Heinsohn, R;yes;no;NA;NA;exclude;no usable data or results reported;
full text screening;Habitat variation in the social organization of a communal gallinule, the pukeko;1979;Behavioral Ecology and Sociobiology;5;4;331-358;Craig, J.L.;yes;no;yes;no;exclude;Table 5 has data on territory size and number of birds in the territory, but groups seem to include current offspring (i.e. not just adults);
full text screening;The relationship of habitat to size of group in the genus Turdoides;1978;Emu;74;supplement 309;;Gaston, A.J. and Perrins, C.M.;yes;NA;NA;NA;exclude;no access;
full text screening;Home ranges and group-territoriality in Chowchillas Orthonyx spaldingii;1999;Emu;99;4;280-290;Jansen, A;no;NA;NA;NA;exclude;does not cooperatively rear young although it is group territorial;
full text screening;Notes on the food habits and food defense of the acorn woodpecker;1970;Condor;72;2;196-204;MacRoberts, M.H.;yes;no;NA;NA;exclude;no usable data or results reported;
full text screening;Social organisation and behaviour of the acorn woodpecker in central coastal California;1976;Ornithological Monographs;21;;1-115;MacRoberts, M.H. and MacRoberts, B.R.;yes;yes;yes;no;exclude;Figures 22 and 32 have raw data and Spearman's r reported in results, but group size appears to include juveniles and not clear when territory sizes measured;
full text screening;The auxiliary social system and its effect on territory and breeding in kookaburras;1973;Emu;73;3;81-100;Parry, V.;yes;yes;yes;yes;include;Table 3 has data which can use to estimate distributions;
full text screening;Helpers have little to laugh about: group structure and vocalisation in the laughing kookaburra Dacelo novaeguineae;1988;Emu;88;3;150-160;Reyer, H.U. and Schimdl, D.;yes;yes;yes;yes;include;Figure 1 has raw data and Spearman's r reported in the results;
full text screening;Habitat and resource relationships in acorn woodpeckers;1979;Condor;81;1;1-8;Roberts, R.C.;yes;no;NA;NA;exclude;r between group size and distance to nearest neighbour reported, and regression between group size and on the number of oak trees, but no usable data or results;
full text screening;Communal activities among white-winged choughs Corcorax melanorhamphus;1978;Ibis;120;2;178-197;Rowley, I.;yes;no;NA;NA;exclude;no usable data or results reported;
full text screening;Factors affecting territory establishment, size and use by three co-existing species of fairy-wrens (Malurus);1990;Emu;90;;7-14;Tidemann, S.C.;yes;no;NA;NA;exclude;no usable data or results reported;
full text screening;The adaptive significance of communal nesting in groove-billed anis Crotophaga sulcirostris;1978;Behavioral Ecology and Sociobiology;4;1;1-33;Vehrencamp, S.L.;yes;yes;yes;no;exclude;Table 1 has correlations between group size and 6 habitat quality measures but group size includes juvenile helpers;
