Table S2. The 199 full text records screened with reasons for exclusion.;;;;;;;;;;;;;;
source;title;year;journal;volume;issue;pages;authors;coop_breeding_definition;data_available;territory_area;group_size_definition;decision;notes;
scopus / web of science;Longer-term response to experimental manipulation of fallen timber on forest floors of floodplain forest in south-eastern Australia;2006;Forest Ecology and Management;229;1;155-160;Mac Nally, R.;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;Notes on the natural history of the pale-mandibled araçari;2001;Journal of Field Ornithology;72;2;258-266;Berg, K.S.;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;Effects of west nile virus mortality on social structure of an american crow (Corvus brachyrhynchos) population in upstate New York;2006;Ornithological Monographs;60;;65-78;Clark, A.B. and Robinson Jr., D.A. and Mcgowan, K.J.;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;Breeding success of a communal gallinule;1980;Behavioral Ecology and Sociobiology;6;4;289-295;Craig, J.L.;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;Cooperative breeding in the frugivorous Toucan Barbet (Semnornis ramphastinus);1998;Auk;115;1;2024-04-15;Restrepo, C. and Mondragón, M.L.;yes;no;NA;NA;exclude;no supplementary data;
scopus / web of science;Sex ratio and habitat limitation promote delayed dispersal in superb fairy-wrens;1990;Nature;348;6301;541-542;Pruett-Jones, S.G. and Lewis, M.J.;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;The polygynandrous mating system of the alpine accentor, Prunella collaris. I. Ecological causes and reproductive conflicts;1995;Animal Behaviour;49;3;769-788;Davies, N.B. and Hartley, I.R. and Hatchwell, B.J. and Desrochers, A. and Skeer, J. and Nebel, D.;yes;no;NA;NA;exclude;discussion: no correlation between group size and total group range reported, but group range was either alpha male or, or joint female range;
scopus / web of science;A study of the ecological bases of cooperative breeding in the Harris' hawk;1988;Ecology;69;4;1176-1187;Bednarz, J.C. and Ligon, J.D.;yes;no;NA;NA;exclude;Table 2 has summary data, but not pared by group size, just pair vs group;
scopus / web of science;Nocturnal foraging by Chatham Island skuas;1988;New Zealand Journal of Ecology;11;;113-117;Young, E.C. and Jenkins, P.F. and Douglas, M.E. and Lovegrove, T.G.;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;Behaviour and breeding biology of the cooperatively breeding Grey-backed Fiscal Shrike Lanius excubitorius in Kenya;1986;Ibis;128;2;214-233;Zack, S.;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;The influence of group size and habitat on reproductive success in the superb fairy-wren Malurus cyaneus;1992;Emu;92;4;238-243;Nias, R.C. and Ford, H.A.;yes;no;NA;NA;exclude;no usable data or results reported;
